name,score,genres,episodes,studios,duration,rank,popularity,favorites,scored_by,members
Sousou no Frieren,9.31,"Adventure, Drama, Fantasy",28,Madhouse,24 min per ep,1,160,63200,603520,1035677
Fullmetal Alchemist: Brotherhood,9.1,"Action, Adventure, Drama, Fantasy",64,Bones,24 min per ep,2,3,231928,2196353,3483268
Steins;Gate,9.07,"Drama, Sci-Fi, Suspense",24,White Fox,24 min per ep,3,14,194507,1449844,2667979
One Piece Fan Letter,9.06,"Action, Adventure, Fantasy",1,Toei Animation,24 min,4,2350,1970,68977,91278
Shingeki no Kyojin Season 3 Part 2,9.05,"Action, Drama, Suspense",10,Wit Studio,23 min per ep,5,21,60500,1671010,2407861
Gintama°,9.05,"Action, Comedy, Sci-Fi",51,Bandai Namco Pictures,24 min per ep,6,344,17033,260443,656687
Gintama: The Final,9.04,"Action, Comedy, Drama, Sci-Fi",1,Bandai Namco Pictures,1 hr 44 min,7,1536,4437,78057,163478
Hunter x Hunter (2011),9.03,"Action, Adventure, Fantasy",148,Madhouse,23 min per ep,8,8,218449,1852164,2981476
Gintama',9.02,"Action, Comedy, Sci-Fi",51,Sunrise,24 min per ep,9,401,8337,245851,580364
Gintama': Enchousen,9.02,"Action, Comedy, Sci-Fi",13,Sunrise,24 min per ep,10,759,3095,171202,338134
Ginga Eiyuu Densetsu,9.01,"Drama, Sci-Fi",110,"K-Factory, Kitty Film Mitaka Studio",26 min per ep,11,761,16899,82446,337614
Bleach: Sennen Kessen-hen,9,"Action, Adventure, Supernatural",13,Pierrot,24 min per ep,12,374,21977,326305,616144
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,"Comedy, Romance",13,A-1 Pictures,23 min per ep,13,168,32137,572299,1008941
Gintama.,8.98,"Action, Comedy, Sci-Fi",12,Bandai Namco Pictures,24 min per ep,14,785,2774,151870,328137
Fruits Basket: The Final,8.96,"Drama, Romance, Supernatural",13,TMS Entertainment,23 min per ep,15,460,20756,256090,515201
Clannad: After Story,8.93,"Drama, Romance",24,Kyoto Animation,24 min per ep,16,120,71418,676462,1231180
Gintama,8.93,"Action, Comedy, Sci-Fi",201,Sunrise,24 min per ep,17,145,60176,408049,1103574
Koe no Katachi,8.93,"Award Winning, Drama",1,Kyoto Animation,2 hr 10 min,18,20,91341,1689123,2447537
3-gatsu no Lion 2nd Season,8.91,Drama,22,Shaft,25 min per ep,19,590,15271,206178,416992
Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Award Winning, Drama, Sci-Fi",25,Sunrise,24 min per ep,20,47,78189,1236270,1851917
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,"Action, Comedy, Sci-Fi",1,Sunrise,1 hr 50 min,21,1038,2122,139218,248962
Kusuriya no Hitorigoto,8.88,"Drama, Mystery",24,"OLM, TOHO animation STUDIO",22 min per ep,23,419,16909,297214,566605
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,"Action, Comedy, Sci-Fi",14,Bandai Namco Pictures,24 min per ep,22,1232,1061,100478,209405
Monster,8.88,"Drama, Mystery, Suspense",74,Madhouse,24 min per ep,24,123,56701,457773,1207880
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,"Action, Drama, Suspense",2,MAPPA,1 hr 12 min per ep,25,290,16314,443257,742989
Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.86,"Action, Adventure, Fantasy",13,A-1 Pictures,23 min per ep,26,658,4526,93496,382406
Owarimonogatari 2nd Season,8.86,"Comedy, Mystery, Supernatural",7,Shaft,22 min per ep,27,593,8896,200768,415701
Violet Evergarden Movie,8.85,"Award Winning, Drama",1,Kyoto Animation,2 hr 20 min,28,340,9181,303372,660703
Kingdom 3rd Season,8.83,Action,26,"Pierrot, Studio Signpost",25 min per ep,30,2033,2352,45823,114096
Kimi no Na wa.,8.83,"Award Winning, Drama",1,CoMix Wave Films,1 hr 46 min,29,11,92713,1978327,2864122
Vinland Saga Season 2,8.81,"Action, Adventure, Drama",24,MAPPA,25 min per ep,32,298,17196,389528,716596
Gintama. Shirogane no Tamashii-hen,8.81,"Action, Comedy, Sci-Fi",12,Bandai Namco Pictures,24 min per ep,31,1169,1191,109345,222626
Mob Psycho 100 II,8.79,"Action, Comedy, Supernatural",13,Bones,24 min per ep,33,73,33113,1020787,1617520
Kizumonogatari III: Reiketsu-hen,8.78,"Action, Mystery, Supernatural",1,Shaft,1 hr 23 min,34,493,7840,282676,484503
Shingeki no Kyojin: The Final Season,8.78,"Action, Drama, Suspense",16,MAPPA,23 min per ep,35,33,52884,1408828,2121702
Hajime no Ippo,8.78,Sports,75,Madhouse,23 min per ep,36,361,23493,314600,636699
Kusuriya no Hitorigoto 2nd Season,8.77,"Drama, Mystery",24,"OLM, TOHO animation STUDIO",24 min per ep,38,1189,1473,27623,218318
Alien Stage,8.77,"Drama, Sci-Fi, Suspense",,LICO,3 min,,8067,341,2275,6420
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,Sports,10,Production I.G,24 min per ep,37,116,15733,832785,1259090
Sen to Chihiro no Kamikakushi,8.77,"Adventure, Award Winning, Fantasy",1,Studio Ghibli,2 hr 4 min,39,44,33902,1349000,1929589
Boku no Kokoro no Yabai Yatsu 2nd Season,8.76,"Comedy, Romance",13,Shin-Ei Animation,23 min per ep,44,1046,5345,136630,246523
Monogatari Series: Second Season,8.76,"Comedy, Mystery, Romance, Supernatural",26,Shaft,25 min per ep,45,316,23856,368174,691180
Bocchi the Rock!,8.76,Comedy,12,CloverWorks,23 min per ep,42,335,32139,403753,669862
